pathway,Significant_Association,pval
HALLMARK_ADIPOGENESIS,FALSE,0.586198198542522
HALLMARK_ALLOGRAFT_REJECTION,FALSE,0.670619804921561
HALLMARK_ANDROGEN_RESPONSE,FALSE,0.675800417565226
HALLMARK_ANGIOGENESIS,FALSE,0.405526393128809
HALLMARK_APICAL_JUNCTION,FALSE,0.516297723441925
HALLMARK_APICAL_SURFACE,FALSE,0.821061399463669
HALLMARK_APOPTOSIS,FALSE,0.999999999999999
HALLMARK_BILE_ACID_METABOLISM,FALSE,0.229141804808419
HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,0.999999999999998
HALLMARK_COAGULATION,FALSE,0.379327410835396
HALLMARK_COMPLEMENT,FALSE,0.917221757062199
HALLMARK_DNA_REPAIR,FALSE,1
HALLMARK_E2F_TARGETS,FALSE,0.80597082717772
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,FALSE,0.999999999999999
HALLMARK_ESTROGEN_RESPONSE_EARLY,FALSE,0.542900895496639
HALLMARK_ESTROGEN_RESPONSE_LATE,FALSE,0.631369395488119
HALLMARK_FATTY_ACID_METABOLISM,FALSE,0.881997053690319
HALLMARK_G2M_CHECKPOINT,FALSE,0.990490616053987
HALLMARK_GLYCOLYSIS,FALSE,0.351712005326239
HALLMARK_HEDGEHOG_SIGNALING,FALSE,0.719250458572576
HALLMARK_HEME_METABOLISM,FALSE,0.586198198542522
HALLMARK_HYPOXIA,FALSE,0.692581592946024
HALLMARK_IL2_STAT5_SIGNALING,FALSE,0.218025601703266
HALLMARK_IL6_JAK_STAT3_SIGNALING,FALSE,0.755838295492217
HALLMARK_INFLAMMATORY_RESPONSE,FALSE,0.504108324986672
HALLMARK_INTERFERON_ALPHA_RESPONSE,FALSE,0.914409216143447
HALLMARK_INTERFERON_GAMMA_RESPONSE,FALSE,0.999999999999999
HALLMARK_KRAS_SIGNALING_DN,FALSE,0.838295182945524
HALLMARK_KRAS_SIGNALING_UP,FALSE,0.218025601703266
HALLMARK_MITOTIC_SPINDLE,FALSE,0.990976914511126
HALLMARK_MTORC1_SIGNALING,FALSE,0.586198198542522
HALLMARK_MYC_TARGETS_V1,FALSE,0.967939061676197
HALLMARK_MYC_TARGETS_V2,FALSE,0.999999999999997
HALLMARK_MYOGENESIS,FALSE,0.470651037218259
HALLMARK_NOTCH_SIGNALING,FALSE,0.999999999999995
HALLMARK_OXIDATIVE_PHOSPHORYLATION,FALSE,0.999999999999999
HALLMARK_P53_PATHWAY,FALSE,0.829442091101467
HALLMARK_PANCREAS_BETA_CELLS,FALSE,0.756781675841417
HALLMARK_PEROXISOME,FALSE,0.901103048897866
HALLMARK_PI3K_AKT_MTOR_SIGNALING,FALSE,0.279451013452983
HALLMARK_PROTEIN_SECRETION,FALSE,0.69762036713683
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,FALSE,0.999999999999996
HALLMARK_SPERMATOGENESIS,FALSE,0.733614011784325
HALLMARK_TGF_BETA_SIGNALING,FALSE,0.839967734443121
HALLMARK_TNFA_SIGNALING_VIA_NFKB,FALSE,0.811682657716922
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,FALSE,0.697709842631714
HALLMARK_UV_RESPONSE_DN,FALSE,0.675491348656182
HALLMARK_UV_RESPONSE_UP,FALSE,0.999999999999999
HALLMARK_WNT_BETA_CATENIN_SIGNALING,FALSE,0.999999999999999
HALLMARK_XENOBIOTIC_METABOLISM,FALSE,0.806558433702952
